id,name,party,sector,country
lk,Lars Klingbeil,SPD,Politik,Deutschland
uv,Ursula von der Leyen,CDU,Politik,EU
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,Linke,Politik,Deutschland
cs,Constanze Stelzenmüller,NA,Justiz,USA
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schlögel,NA,Historik,Deutschland
lm,Ljudmyma Melnyk,NA,Wissenschaft,Deutschland
kd,Kristina Dunz,NA,Journalismus,Deutschland
el,Egils Levits,NA,Politik,Lettland
ab,Annalena Baerbock,Grüne,Politik,Deutschland
ft,Frans Timmermans,NA,Politik,EU
am,Andrij Melnyk,NA,Diplomatie,Ukraine
agl,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,NA,Sicherheit,Deutschland
rh,Robert Habeck,Grüne,Politik,Deutschland
cm,Claudia Major,NA,Wissenschaft,Deutschland
kp,Katja Petrowskaja,NA,Publizistik,Deutschland
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
cl,Christine Lambrecht,SPD,Politik,Deutschland
sb,Stefanie Babst,NA,Wirtschaft,Deutschland
ch,Christoph Heusgen,NA,Sicherheit,Deutschland
mw,Marina Weisband,NA,Publizistik,Deutschland
os,Olaf Scholz,SPD,Politik,Deutschland
ms,Markus Söder,CSU,Politik,Deutschland
vg,Veronika Grimm,NA,Wissenschaft,Deutschland
mb,Marieluise Beck,Grüne,Politik,Deutschland
ra,Robin Alexander,NA,Journalismus,Deutschland
se,Saskia Esken,SPD,Politik,Deutschland
msz,Marie-Agnes Strack-Zimmermann,FDP,Politik,Deutschland
jdw,Johann David Wadephul,CDU,Politik,Deutschland
mf,Markus Feldenkirchen,NA,Journalismus,Deutschland
kk,Kevin Kühnert,SPD,Politik,Deutschland
bh,Britta Hasselmann,Grüne,Politik,Deutschland
rp,Ruprecht Polenz,CDU,Politik,Deutschland
hw,Harald Welzer,NA,Publizistik,Deutschland
